tickertime,openprice,closeprice,high,low,predictprice
2019-07-16,10884.688987,9481.861063,11009.703472,9443.169652,8685.248352448501
2019-07-15,10180.134333,10884.688987,11059.322931,9942.682095,8672.056952374885
2019-07-14,11414.993334,10267.750683,11471.995839,10225.587239,8658.882164347344
2019-07-13,11805.558154,11414.993334,11805.558154,10910.163807,8645.723971759593
2019-07-12,11385.71319,11798.523281,11873.814676,11178.524061,8632.58235801761
2019-07-11,12115.777316,11385.71319,12115.777316,11138.106906,8619.457306539696
2019-07-10,12561.311306,12115.777316,13106.703374,11668.025342,8606.34880075634
2019-07-09,12274.768841,12561.311306,12749.189628,12196.517449,8593.25682411034
2019-07-08,11426.207369,12274.768841,12337.584393,11334.376097,8580.181360056746
2019-07-07,11268.338607,11426.207369,11520.554289,11127.759858,8567.122392063051
2019-07-06,10972.677284,11268.338607,11660.614735,10972.677284,8554.079903608565
2019-07-05,10982.5439142,11208.5508454,11620.9651525,10982.5439142,8541.053878185312
2019-07-04,11203.1024876,10978.4599518,11395.6613596,10874.9649233,8528.0442992972
2019-07-03,11972.7185797,11215.4375483,12006.0753559,11166.5688601,8515.051150460702
2019-07-02,10818.1558221,11961.2693412,11968.0776971,10818.1558221,8502.074415204228
2019-07-01,10588.6836947,10801.6779238,10912.1886159,9737.88454398,8489.11407706847
2019-06-30,10796.9306183,10583.1345195,11206.4398606,10089.3143739,8476.17011960654
2019-06-29,11931.990728,10817.1555981,12178.3833598,10799.0085788,8463.24252638354
2019-06-28,12400.7636934,11959.3709764,12400.910221,11508.3784271,8450.33128097677
2019-06-27,11162.1678255,12407.331998,12445.1752203,10914.4948615,8437.4363669758
2019-06-26,13017.1248668,11182.8062855,13311.1443049,10491.8523044,8424.557767982524
2019-06-25,11778.5811328,13016.2317442,13796.4890807,11755.597775,8411.695467610743
2019-06-24,11007.2020736,11790.916533,11790.916533,11007.2020736,8398.84944948672
2019-06-23,10853.7438384,11011.1024485,11065.8960178,10610.4280819,8386.019697248612
2019-06-22,10696.6909289,10855.3710156,11246.1441834,10556.095932,8373.2061945471
2019-06-21,10175.9239561,10701.691013,11157.3455164,10107.0352041,8360.408925044616
2019-06-20,9525.07460809,10144.5567168,10144.5567168,9525.07460809,8347.627872416031
